Ts,ActP
1645449146,3
1645449147,3
1645449148,3
1645449149,3
1645449150,3
1645449151,3
1645449152,3
1645449153,3
1645449155,3
1645449156,11
1645449156,121
1645449157,114
1645449159,108
1645449160,109
1645449160,107
1645449161,115
1645449163,107
1645449164,7
1645449165,3
1645449166,3
1645449167,3
1645449168,3
1645449169,3
1645449170,3
1645449171,3
1645449172,3
1645449173,3
1645449174,3
1645449175,3
1645449176,55
1645449177,150
1645449177,150
1645449178,118
1645449179,118
1645449180,115
1645449181,118
1645449182,117
1645449183,119
1645449184,4
1645449185,3
1645449186,3
1645449187,3
1645449188,3
1645449189,3
1645449190,3
1645449191,3
1645449192,3
1645449193,3
1645449194,3
1645449195,3
1645449196,137
1645449197,124
1645449198,112
1645449199,117
1645449200,109
1645449201,110
1645449202,109
1645449203,109
1645449204,3
1645449205,3
1645449206,3
1645449207,3
1645449208,3
1645449209,3
1645449210,3
1645449211,3
1645449212,3
1645449213,3
1645449214,3
1645449215,3
1645449216,153
1645449217,126
1645449218,124
1645449219,117
1645449220,117
1645449221,116
1645449222,114
1645449223,118
1645449224,3
1645449225,3
1645449226,3
1645449227,3
1645449228,3
1645449229,3
1645449230,3
1645449231,3
1645449232,3
1645449233,3
1645449234,3
1645449235,3
1645449236,94
1645449237,118
1645449239,109
1645449239,107
1645449240,108
1645449241,110
1645449242,112
1645449243,76
1645449244,3
1645449245,3
1645449246,3
1645449247,3
1645449248,3
1645449249,3
1645449250,3
1645449251,3
1645449252,3
1645449253,3
1645449254,3
1645449255,3
1645449256,108
1645449257,118
1645449258,119
1645449259,121
1645449260,115
1645449261,121
1645449262,120
1645449263,31
1645449264,3
1645449265,3
1645449266,3
1645449267,3
1645449268,3
1645449269,3
1645449270,3
1645449271,3
1645449272,3
1645449273,3
1645449275,10
1645449275,3
1645449276,126
1645449277,114
1645449278,111
1645449279,106
1645449280,112
1645449281,109
1645449282,110
1645449283,6
1645449285,3
1645449285,3
1645449286,3
1645449287,3
1645449288,3
1645449289,3
1645449290,3
1645449292,3
1645449292,3
1645449294,3
1645449295,3
1645449299,114
1645449300,114
1645449300,114
1645449300,114
1645449300,120
1645449301,120
1645449302,119
1645449303,120
1645449304,4
1645449305,3
1645449306,3
1645449307,3
1645449308,3
1645449309,3
1645449310,3
1645449311,3
1645449312,3
1645449313,3
1645449314,3
1645449314,3
1645449315,3
1645449316,9
1645449317,133
1645449318,108
1645449319,109
